Location Code,Region Code,Bldg Address1,Bldg Address2,Bldg City,Bldg County,Bldg State,Bldg Zip,Congressional District,Bldg Status,Property Type,Bldg ANSI Usable,Total Parking Spaces,Owned/Leased,Construction Date,Historical Type,Historical Status,ABA Accessibility Flag 
CT0013,"1","135 HIGH ST"," ","HARTFORD","HARTFORD",CT,061031125, ,ACTIVE,BUILDING,93952,28,OWNED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0024,"1","141 CHURCH ST","U.S. COURTHOUSE","NEW HAVEN","NEW HAVEN",CT,065102001, ,ACTIVE,BUILDING,67263,0,OWNED,01-Jan-1919,Field Not In Use,National Register Listed,Will Conform
CT0047,"1","135 GRAND ST"," ","WATERBURY","NEW HAVEN",CT,067029998, ,ACTIVE,BUILDING,269,0,LEASED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0053,"1","450 MAIN ST"," ","HARTFORD","HARTFORD",CT,061031804, ,ACTIVE,BUILDING,197999,105,OWNED,01-Jan-1963,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0059,"1","915 LAFAYETTE BLVD"," ","BRIDGEPORT","FAIRFIELD",CT,066044706, ,ACTIVE,BUILDING,85924,131,OWNED,01-Jan-1967,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0060,"1","147 LITCHFIELD ST"," ","WEST TORRINGTON","LITCHFIELD",CT,067906407, ,ACTIVE,BUILDING,5052,5,OWNED,01-Jan-1969,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0061,"1","150 COURT ST"," ","NEW HAVEN","NEW HAVEN",CT,065112020, ,ACTIVE,BUILDING,82448,83,OWNED,01-Jan-1977,Field Not In Use,Evaluated - Not Historic,Will Conform
CT3316,"1","130 DARLIN ST"," ","EAST HARTFORD","HARTFORD",CT,061083234, ,ACTIVE,BUILDING,37395,164,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3319,"1","101 BROAD ST"," ","STAMFORD","FAIRFIELD",CT,069012797, ,ACTIVE,BUILDING,5020,8,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3323,"1","333 E RIVER DR"," ","EAST HARTFORD","HARTFORD",CT,061084200, ,ACTIVE,BUILDING,15150,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3331,"1","157 CHURCH ST"," ","NEW HAVEN","NEW HAVEN",CT,065102100, ,ACTIVE,BUILDING,101318,47,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3341,"1","265 CHURCH ST"," ","NEW HAVEN","NEW HAVEN",CT,065107013, ,ACTIVE,BUILDING,13827,27,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3354,"1","530 PRESTON AVE"," ","MERIDEN","NEW HAVEN",CT,064504893, ,ACTIVE,BUILDING,11670,39,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3358,"1","2 SHAWS CV"," ","NEW LONDON","NEW LONDON",CT,06320, ,ACTIVE,BUILDING,0,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3360,"1","1000 LAFAYETTE BLVD","10TH FLOOR","BRIDGEPORT","FAIRFIELD",CT,066044725, ,ACTIVE,BUILDING,31055,103,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3362,"1","213 COURT ST"," ","MIDDLETOWN","MIDDLESEX",CT,064573346, ,ACTIVE,BUILDING,1950,11,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3369,"1","20 CHURCH ST"," ","HARTFORD","HARTFORD",CT,061031221, ,ACTIVE,BUILDING,21432,9,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3373,"1","101 PITKIN ST"," ","EAST HARTFORD","HARTFORD",CT,061083316, ,ACTIVE,BUILDING,0,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3375,"1","600 STATE ST"," ","NEW HAVEN","NEW HAVEN",CT,065116505, ,ACTIVE,BUILDING,78826,220,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3376,"1","131 WEST ST"," ","DANBURY","FAIRFIELD",CT,068106376, ,ACTIVE,BUILDING,6277,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3389,"1","344 MERROW RD"," ","TOLLAND","TOLLAND",CT,060843917, ,ACTIVE,BUILDING,10302,52,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3393,"1","10 COLUMBUS BLVD"," ","HARTFORD","HARTFORD",CT,061061976, ,ACTIVE,BUILDING,5198,21,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3395,"1","334 ELLA GRASSO TPKE"," ","WINDSOR LOCKS","HARTFORD",CT,060961042, ,ACTIVE,BUILDING,11825,5,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3398,"1","1320 MAIN ST"," ","WILLIMANTIC","WINDHAM",CT,062261940, ,ACTIVE,BUILDING,6065,25,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3400,"1","5 SHAWS CV","SUITE 206","NEW LONDON","NEW LONDON",CT,063204974, ,ACTIVE,BUILDING,1137,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3402,"1","1 CHELSEA ST"," ","NEW LONDON","NEW LONDON",CT,063205506, ,ACTIVE,BUILDING,47200,164,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3409,"1","155 BURR ST"," ","NEW HAVEN","NEW HAVEN",CT,065123652, ,ACTIVE,BUILDING,459,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3410,"1","36 BUFF CAP RD"," ","TOLLAND","TOLLAND",CT,060842604, ,ACTIVE,BUILDING,1004,3,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3412,"1","21 OAK ST"," ","HARTFORD","HARTFORD",CT,061068003, ,ACTIVE,BUILDING,5303,23,LEASED,25-Jun-2009,Field Not In Use,Not Evaluated,Yes
CT3413,"1","15 MARNE ST"," ","HAMDEN","NEW HAVEN",CT,06514, ,ACTIVE,BUILDING,27394,15,LEASED,01-Apr-2009,Field Not In Use,Not Evaluated,Yes
CT3414,"1","2 UNION PLZ"," ","NEW LONDON","NEW LONDON",CT,063206309, ,ACTIVE,BUILDING,6266,22,LEASED,01-Feb-2008,Field Not In Use,Not Evaluated,Yes
CT3416,"1","716 BROOK ST"," ","ROCKY HILL","HARTFORD",CT,060673433, ,ACTIVE,BUILDING,13705,32,LEASED,01-Oct-2009,Field Not In Use,Not Evaluated,Yes
CT3421,"1","888 WASHINGTON STREET"," ","STAMFORD","FAIRFIELD",CT,069012902, ,ACTIVE,BUILDING,1380,6,LEASED,19-Mar-2009,Field Not In Use,Not Evaluated,Yes
CT3425,"1","474-484 BURNSIDE AVENUE"," ","EAST HARTFORD","HARTFORD",CT,061082425, ,ACTIVE,BUILDING,6314,40,LEASED,25-Jun-2009,Field Not In Use,Not Evaluated,No
CT3429,"1","475 MAIN ST"," ","ANSONIA","NEW HAVEN",CT,064012307, ,ACTIVE,BUILDING,4048,38,LEASED,01-Jul-2000,Field Not In Use,Not Evaluated,Yes
CT3433,"1","97 BARNES RD"," ","WALLINGFORD","NEW HAVEN",CT,064921885, ,ACTIVE,BUILDING,4217,29,LEASED,01-May-1985,Field Not In Use,Not Evaluated,Will Conform
CT3435,"1","291 S LAMBERT RD"," ","ORANGE","NEW HAVEN",CT,064773559, ,ACTIVE,BUILDING,3961,25,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3438,"1","761 MAIN AVE"," ","NORWALK","FAIRFIELD",CT,068511080, ,ACTIVE,BUILDING,18405,6,LEASED,09-Jun-2010,Field Not In Use,Not Evaluated,Yes
CT3441,"1","51 N ELM ST"," ","WATERBURY","NEW HAVEN",CT,067021511, ,ACTIVE,BUILDING,8648,36,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3444,"1","280 TRUMBULL ST"," ","HARTFORD","HARTFORD",CT,061033509, ,ACTIVE,BUILDING,4655,3,LEASED,01-Jan-2000,Field Not In Use,Evaluated - Not Historic,Yes
CT3446,"1","850 CANAL ST"," ","STAMFORD","FAIRFIELD",CT,069026943, ,ACTIVE,BUILDING,19265,40,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3448,"1","15 THAMES ST"," ","GROTON","NEW LONDON",CT,063403629, ,ACTIVE,BUILDING,4031,4,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3450,"1","35 COURTLAND ST"," ","BRIDGEPORT","FAIRFIELD",CT,066043928, ,ACTIVE,BUILDING,11406,25,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3451,"1","55 MAIN ST"," ","NORWICH","NEW LONDON",CT,063605703, ,ACTIVE,BUILDING,5375,14,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3453,"1","BRADLEY FIELD","TERMINAL A GROUND FLOOR","WINDSOR LOCKS","HARTFORD",CT,06096, ,ACTIVE,BUILDING,4792,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3457,"1","321 RESEARCH PKWY"," ","MERIDEN","NEW HAVEN",CT,06450, ,ACTIVE,BUILDING,4968,1,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3458,"1","380 SHELDON ST"," ","HARTFORD","HARTFORD",CT,061061939, ,ACTIVE,STRUCTURE,0,10,LEASED,01-Jan-2000,Field Not In Use,Evaluated - Not Historic,Will Conform
CT3459,"1","99 E MAIN ST"," ","MIDDLETOWN","MIDDLESEX",CT,064573808, ,ACTIVE,BUILDING,4550,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3460,"1","131 WEST ST"," ","DANBURY","FAIRFIELD",CT,068105429, ,ACTIVE,BUILDING,4712,20,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3462,"1","193 GRAND ST"," ","WATERBURY","NEW HAVEN",CT,067021919, ,ACTIVE,BUILDING,2229,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3463,"1","1 HERALD SQ"," ","NEW BRITAIN","HARTFORD",CT,060512612, ,ACTIVE,BUILDING,6940,4,LEASED,01-Jan-2000,Field Not In Use,Evaluated - Not Historic,Will Conform
CT3466,"1","6 SHAWS CV"," ","NEW LONDON","NEW LONDON",CT,063204969, ,ACTIVE,BUILDING,6220,0,LEASED,01-Jan-2000,Field Not In Use,Evaluated - Not Historic,No
CT3467,"1","195 CHURCH ST"," ","NEW HAVEN","NEW HAVEN",CT,065102009, ,ACTIVE,BUILDING,14954,47,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA0011,"1","408 ATLANTIC AVE"," ","BOSTON","SUFFOLK",MA,021103349, ,ACTIVE,BUILDING,88383,3,OWNED,01-Jan-1918,Field Not In Use,Evaluated - Not Historic,Yes
MA0013,"1","5 POST OFFICE SQ"," ","BOSTON","SUFFOLK",MA,021093901, ,ACTIVE,BUILDING,388104,32,OWNED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
MA0050,"1","1 COURTHOUSE WAY","BOSTON","BOSTON","SUFFOLK",MA,022103024, ,ACTIVE,BUILDING,541458,69,OWNED,01-Sep-1998,Field Not In Use,Not Evaluated,Will Conform
MA0051,"1","300 STATE ST"," ","SPRINGFIELD","HAMPDEN",MA,011051686, ,ACTIVE,BUILDING,78291,86,OWNED,01-Aug-2008,Field Not In Use,Not Evaluated,Will Conform
MA0076,"1","37 N 2ND ST"," ","NEW BEDFORD","BRISTOL",MA,027406329, ,ACTIVE,BUILDING,3429,6,OWNED,01-Jan-1836,Field Not In Use,National Historic Landmark,Will Conform
MA0113,"1","595 MAIN ST"," ","WORCESTER","WORCESTER",MA,016082093, ,ACTIVE,BUILDING,62795,4,OWNED,01-Jan-1932,Field Not In Use,National Register Listed,Will Conform
MA0129,"1","881 MAIN ST"," ","FITCHBURG","WORCESTER",MA,014203007, ,ACTIVE,BUILDING,58923,203,OWNED,01-Jan-1973,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0131,"1","15 NEW SUDBURY ST"," ","BOSTON","SUFFOLK",MA,022030002, ,ACTIVE,BUILDING,583774,258,OWNED,01-Jan-1966,Field Not In Use,National Register Listed,Yes
MA0135,"1","400 N MAIN ST"," ","FALL RIVER","BRISTOL",MA,027202131, ,ACTIVE,BUILDING,6984,50,OWNED,01-Jan-1969,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0136,"1","380 TRAPELO RD","FED CTR","WALTHAM","MIDDLESEX",MA,024526322, ,ACTIVE,BUILDING,129115,0,OWNED,01-Jan-1966,Field Not In Use,Evaluated - Not Historic,Yes
MA0137,"1","310 LOWELL STREET"," ","ANDOVER","ESSEX",MA,01810, ,ACTIVE,BUILDING,323747,1688,OWNED,01-Jan-1966,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0138,"1","367 MAIN ST"," ","HAVERHILL","ESSEX",MA,018304091, ,ACTIVE,BUILDING,5080,20,OWNED,01-Jan-1973,Field Not In Use,Evaluated - Not Historic,Yes
MA0153,"1","10 CAUSEWAY ST"," ","BOSTON","SUFFOLK",MA,022221048, ,ACTIVE,BUILDING,492652,267,OWNED,30-Jun-1986,Field Not In Use,Not Evaluated,Yes
MA0158,"1","53 N 6TH ST"," ","NEW BEDFORD","BRISTOL",MA,027406110, ,ACTIVE,BUILDING,22990,52,OWNED,01-Jan-1974,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0180,"1","78 CENTER ST"," ","PITTSFIELD","BERKSHIRE",MA,012016171, ,ACTIVE,BUILDING,19053,64,OWNED,01-Jan-1977,Field Not In Use,Evaluated - Not Historic,Will Conform
MA0183,"1","220 BINNEY STREET"," ","CAMBRIDGE","MIDDLESEX",MA,021421026, ,ACTIVE,BUILDING,238376,602,OWNED,01-Jul-2023,Field Not In Use,Evaluated - Not Historic,Yes
MA0188,"1","11 CHANNEL STREET"," ","BOSTON","SUFFOLK",MA,02210, ,ACTIVE,BUILDING,13436,45,OWNED,01-Jan-1940,Field Not In Use,Evaluated - Not Historic,Yes
MA1855,"1","146 MENDON ST"," ","UXBRIDGE","WORCESTER",MA,015691560, ,ACTIVE,BUILDING,4256,15,LEASED,01-Jan-2000,Field Not In Use,National Register Listed,Will Conform
MA5431,"1","140 UNION ST"," ","LYNN","ESSEX",MA,019011336, ,ACTIVE,BUILDING,9857,30,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5466,"1","1200 DISTRICT AVENUE"," ","BURLINGTON","MIDDLESEX",MA,018035078, ,ACTIVE,BUILDING,81056,400,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5490,"1","198 COLUMBIA RD"," ","HANOVER","PLYMOUTH",MA,023392322, ,ACTIVE,BUILDING,7910,1,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5612,"1","463 WEST ST"," ","AMHERST","HAMPSHIRE",MA,010022946, ,ACTIVE,BUILDING,2664,22,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5645,"1","11 WOODS HOLE RD"," ","FALMOUTH","BARNSTABLE",MA,025401666, ,ACTIVE,BUILDING,16339,13,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5649,"1","639 GRANITE STREET"," ","BRAINTREE","NORFOLK",MA,021845366, ,ACTIVE,BUILDING,3524,4,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5650,"1","13 BRANCH ST"," ","METHUEN","ESSEX",MA,018441900, ,ACTIVE,BUILDING,6481,26,LEASED,01-Oct-2010,Field Not In Use,Not Evaluated,Yes
MA5654,"1","1 CONGRESS ST"," ","BOSTON","SUFFOLK",MA,021142010, ,ACTIVE,STRUCTURE,0,10,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5671,"1","10 MALCOLM X BLVD","AKA 80 DUDLEY STREET","BOSTON","SUFFOLK",MA,021191775, ,ACTIVE,BUILDING,9242,23,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5673,"1","20 INDUSTRIAL BLVD"," ","HYANNIS","BARNSTABLE",MA,026013112, ,ACTIVE,BUILDING,4600,44,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5675,"1","850 PLEASANT ST"," ","NEW BEDFORD","BRISTOL",MA,027406664, ,ACTIVE,BUILDING,13202,26,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5678,"1","1 FEDERAL STREET","BUILDING 101","SPRINGFIELD","HAMPDEN",MA,01105, ,ACTIVE,BUILDING,2307,0,LEASED,01-Jan-2000,Field Not In Use,National Historic Landmark,Yes
MA5681,"1","446 MAIN ST"," ","WORCESTER","WORCESTER",MA,016082359, ,ACTIVE,BUILDING,15103,26,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5682,"1","88 BLACK FALCON AVE"," ","BOSTON","SUFFOLK",MA,022102425, ,ACTIVE,BUILDING,6841,30,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5683,"1","70 EVERETT AVE"," ","CHELSEA","SUFFOLK",MA,021502376, ,ACTIVE,BUILDING,2125,5,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5771,"1","300 WESTGATE CENTER DR"," ","HADLEY","HAMPSHIRE",MA,010359587, ,ACTIVE,BUILDING,62800,285,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5785,"1","120 FRONT ST"," ","WORCESTER","WORCESTER",MA,016081413, ,ACTIVE,BUILDING,24605,33,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5790,"1","439 S UNION ST"," ","LAWRENCE","ESSEX",MA,018432810, ,ACTIVE,BUILDING,25273,819,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5793,"1","1441 MAIN ST"," ","SPRINGFIELD","HAMPDEN",MA,011031406, ,ACTIVE,BUILDING,35488,75,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5809,"1","90 MADISON ST"," ","WORCESTER","WORCESTER",MA,016082058, ,ACTIVE,BUILDING,16500,1,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5813,"1","900 CHELMSFORD ST"," ","LOWELL","MIDDLESEX",MA,018518100, ,ACTIVE,BUILDING,30844,119,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5819,"1","1 BATTERYMARCH PARK"," ","QUINCY","NORFOLK",MA,021697468, ,ACTIVE,BUILDING,582,2,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,No
MA5826,"1","104 DEAN ST"," ","TOWN OF DIGHTON","BRISTOL",MA,027802714, ,ACTIVE,BUILDING,11086,73,LEASED,01-Apr-2009,Field Not In Use,Not Evaluated,Will Conform
MA5829,"1","1441 MAIN ST"," ","SPRINGFIELD","HAMPDEN",MA,011031406, ,ACTIVE,BUILDING,14162,29,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5831,"1","325 CHELMSFORD ST"," ","LOWELL","MIDDLESEX",MA,018514429, ,ACTIVE,BUILDING,3900,8,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5832,"1","59 LOWES WAY"," ","LOWELL","MIDDLESEX",MA,018515018, ,ACTIVE,BUILDING,25616,60,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5834,"1","696 VIRGINIA RD","CONCORD,MA 01742","CONCORD","MIDDLESEX",MA,017422718, ,ACTIVE,BUILDING,97256,387,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5837,"1","1250 HANCOCK ST"," ","QUINCY","NORFOLK",MA,021694339, ,ACTIVE,BUILDING,2895,3,LEASED,01-Aug-1985,Field Not In Use,Not Evaluated,Yes
MA5842,"1","10 BEARFOOT RD"," ","NORTHBOROUGH","WORCESTER",MA,015321994, ,ACTIVE,BUILDING,20394,23,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5845,"1","106 PLEASANT ST"," ","ATTLEBORO","BRISTOL",MA,027032359, ,ACTIVE,BUILDING,7285,1,LEASED,01-Jan-1999,Field Not In Use,Not Evaluated,Yes
MA5847,"1","1 PROGRESS WAY"," ","WILMINGTON","MIDDLESEX",MA,018874611, ,ACTIVE,BUILDING,49950,95,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5851,"1","11 TECHNOLOGY DR"," ","NORTH CHELMSFORD","MIDDLESEX",MA,01863, ,ACTIVE,BUILDING,49262,140,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5861,"1","101 CUMMINGS CTR","SUITE 422A","BEVERLY","ESSEX",MA,019156115, ,ACTIVE,BUILDING,1016,4,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5863,"1","PARK ST","118 TURNPIKE ROAD","SOUTHBOROUGH","WORCESTER",MA,017721660, ,ACTIVE,BUILDING,9190,0,LEASED,01-Oct-1985,Field Not In Use,Not Evaluated,Yes
MA5866,"1","151 WARREN STREET"," ","LOWELL","MIDDLESEX",MA,018522647, ,ACTIVE,BUILDING,11128,23,LEASED,01-Dec-1999,Field Not In Use,Not Evaluated,Yes
MA5867,"1","210 HIGH ST","2ND FLOOR","HOLYOKE","HAMPDEN",MA,010406507, ,ACTIVE,BUILDING,10450,1,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5868,"1","180 2ND ST"," ","CHELSEA","SUFFOLK",MA,021501806, ,ACTIVE,BUILDING,20385,10,LEASED,01-Aug-2009,Field Not In Use,Not Evaluated,Yes
MA5869,"1","48 RESEARCH RD","FALMOUTH TECH. PARK","EAST FALMOUTH","BARNSTABLE",MA,025364440, ,ACTIVE,BUILDING,4200,1,LEASED,25-May-2001,Field Not In Use,Not Evaluated,Yes
MA5871,"1","480 BARNSTABLE RD"," ","HYANNIS","BARNSTABLE",MA,026012900, ,ACTIVE,BUILDING,1112,4,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5874,"1","14 AIRPORT ROAD"," ","NANTUCKET","NANTUCKET",MA,025542894, ,ACTIVE,BUILDING,530,1,LEASED,05-May-2008,Field Not In Use,Not Evaluated,Yes
MA5876,"1","1 EDGEWATER DR"," ","NORWOOD","NORFOLK",MA,020624691, ,ACTIVE,BUILDING,5422,18,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5883,"1","97 COMMERCE WAY","NORTH EAST JET CENTER","NORTH ANDOVER CENTER","ESSEX",MA,018451049, ,ACTIVE,BUILDING,4528,3,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5890,"1","70 BOND ST"," ","SPRINGFIELD","HAMPDEN",MA,011043402, ,ACTIVE,BUILDING,19000,76,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5891,"1","364 UNIVERSITY AVE"," ","WESTWOOD","NORFOLK",MA,020902311, ,ACTIVE,BUILDING,1718,6,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5893,"1","115-117 FREEPORT STREET"," ","BOSTON","SUFFOLK",MA,021222829, ,ACTIVE,BUILDING,13630,35,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5897,"1","222 W CUMMINGS PARK"," ","WOBURN","MIDDLESEX",MA,018016346, ,ACTIVE,BUILDING,4237,5,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5900,"1","10 NEW ENGLAND EXECUTIVE PARK"," ","BURLINGTON","MIDDLESEX",MA,018305214, ,ACTIVE,BUILDING,38386,126,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5905,"1","45-47 SPRUCE STREET"," ","CHELSEA","SUFFOLK",MA,021502345, ,ACTIVE,BUILDING,3740,6,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5907,"1","2 DEBUSH AVE","BUILDING B UNITS 7 & 8","MIDDLETON","ESSEX",MA,019491602, ,ACTIVE,BUILDING,8000,5,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5908,"1","CHRISTY DRIVE"," ","BROCKTON","PLYMOUTH",MA,023011843, ,ACTIVE,BUILDING,12500,63,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5912,"1","71 AIRPORT RD"," ","VINEYARD HAVEN","DUKES",MA,025688144, ,ACTIVE,BUILDING,221,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5915,"1","1 CLARKS HL"," ","FRAMINGHAM","MIDDLESEX",MA,017028172, ,ACTIVE,BUILDING,8639,1,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
MA5917,"1","30 RIVERSIDE DR"," ","LAKEVILLE","PLYMOUTH",MA,023473629, ,ACTIVE,BUILDING,7151,9,LEASED,05-May-2008,Field Not In Use,Not Evaluated,Yes
MA5924,"1","201 MAPLE ST"," ","CHELSEA","SUFFOLK",MA,02150, ,ACTIVE,BUILDING,200600,400,LEASED,14-Oct-2016,Field Not In Use,Not Evaluated,Yes
MA5930,"1","401 EDGEWATER PL"," ","WAKEFIELD","MIDDLESEX",MA,018806241, ,ACTIVE,BUILDING,6686,14,LEASED,01-Nov-2008,Field Not In Use,Not Evaluated,Yes
MA5932,"1","9 MAIN ST"," ","SUTTON","WORCESTER",MA,015901660, ,ACTIVE,BUILDING,1097,7,LEASED,02-Nov-2007,Field Not In Use,Not Evaluated,Yes
MA5935,"1","138 RIVER RD"," ","ANDOVER","ESSEX",MA,018101072, ,ACTIVE,BUILDING,4191,18,LEASED,25-Jun-2009,Field Not In Use,Not Evaluated,Yes
MA5939,"1","2 MILL STREET"," ","LAWRENCE","ESSEX",MA,018401602, ,ACTIVE,BUILDING,27449,91,LEASED,08-Jun-2009,Field Not In Use,Not Evaluated,Yes
MA5941,"1","4238 WASHINGTON ST"," ","BOSTON","SUFFOLK",MA,021311732, ,ACTIVE,BUILDING,6630,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
MA5942,"1","75 PERSEVERANCE WAY"," ","HYANNIS","BARNSTABLE",MA,026011816, ,ACTIVE,BUILDING,3479,0,LEASED,23-Feb-2010,Field Not In Use,Not Evaluated,Yes
MA5944,"1","67 HUTTLESTON AVE"," ","FAIRHAVEN","BRISTOL",MA,027193156, ,ACTIVE,BUILDING,3970,20,LEASED,12-Mar-2009,Field Not In Use,Not Evaluated,Yes
MA5955,"1","120 LIBERTY ST"," ","BROCKTON","PLYMOUTH",MA,023015521, ,ACTIVE,BUILDING,11987,70,LEASED,01-Jan-2009,Field Not In Use,Not Evaluated,Yes
MA5958,"1","192-194 COMMERCIAL STREET"," ","MALDEN","MIDDLESEX",MA,021486709, ,ACTIVE,BUILDING,10621,1,LEASED,01-Jan-2010,Field Not In Use,Not Evaluated,Yes
MA5964,"1","10 FAWCETT STREET"," ","CAMBRIDGE","MIDDLESEX",MA,021381171, ,ACTIVE,BUILDING,12364,1,LEASED,30-Jul-2009,Field Not In Use,Not Evaluated,Yes
MA5965,"1","ONE LAKESHORE CENTER"," ","BRIDGEWATER","PLYMOUTH",MA,023241065, ,ACTIVE,BUILDING,4976,28,LEASED,15-Jan-2001,Field Not In Use,Not Evaluated,Yes
MA5980,"1","51 SLEEPER ST"," ","BOSTON","SUFFOLK",MA,022101276, ,ACTIVE,BUILDING,15519,0,LEASED,15-Aug-2009,Field Not In Use,Not Evaluated,Yes
